,DEPOSIT_AMOUNT,DEPOSIT_TXS,SENDER,WITHDRAWN_AMOUNT,WITHDRAW_TXS
196,1000.0,1,terra1w0d887lqx3qpkms9va3s9k5zk0us2vrth4m3ys,0.0,0
197,1850.0,1,terra1sgyj52s9tmszk0vxgpmcyw286hx86excua6d2d,0.0,0
198,820.0,1,terra189p7ywwgtac6dwst5eaagn67hthfp4q9fcu4m6,0.0,0
199,1191.234612,2,terra1s4mdyh3hh4py4762nekw426dw6f9uw334mvx9s,0.0,0
200,10.0,1,terra1ukhxzky99hg992vyrxzv05pa4ny9ufql25jma5,0.0,0
201,50.0,1,terra1xhxx4hxmsc470avnd0r3y94cyr20mkygq555d4,0.0,0
202,453.764995,1,terra1e3kej2rhwgmnc0ze2j5h25zygywpsyn3847mpt,0.0,0
203,250.0,1,terra1ufum8px0ya9fvyhy375pj2j5qtrn4g75jtfgyl,0.0,0
204,3500.0,3,terra1249rex29qagcwss2vh4cyzc6ye5yxm9qjsh3km,1000.0,1
205,525.0,1,terra1gcslw80lpe8tdl55myxhspdxljydeuvc6s83ye,0.0,0
206,1500.0,1,terra1s40c8eh834mzv5kh3e4u5f7kmze782znzqfe79,0.0,0
207,501.0,1,terra1xzfnq77fmm7r3q6ga74zcxksnepxaczgfdaff4,0.0,0
208,285.0,1,terra1prdk03ppp4s3yc2xf3d0q7fnf7kyvlwd3few7c,0.0,0
209,305.0,2,terra144ndr60pztgfe904hz2vg9028f5n29wvejydhs,0.0,0
210,130.0,1,terra1ptn6yv2zl54y34rz02mn2pgp3rtgmdqvsc2yzs,0.0,0
211,167.0,2,terra1qu7saf8zanlg98zakpcdq33tdg33ve53ps4w3a,0.0,0
212,950.0,1,terra1fqm8y29e5fpq7g82tr0dq2um4p6jpxhk86gd85,0.0,0
213,276.640674,2,terra1eh37pvw0674nnvr75rrzfx7zl99ckkd5srfla7,0.0,0
214,300.0,1,terra1dll3tyf9mq3zskkc8wy4xthpyk2d9044j7mjyj,0.0,0
215,105390.0,1,terra1jwntlwvd36mkwezp9cmrhjefdv5jmmw6gc2035,0.0,0
216,4000.0,1,terra1ff58nx75yqzvawtmf2jg0qygdersxrlzr0uvcz,0.0,0
217,800.0,2,terra1j9apelpx3p85suq9537d6f3z6n3gnnxmmgzgn6,0.0,0
218,3000.0,1,terra1xrhfxjxf7py857k82cml6y22yymyur28jtnz7s,0.0,0
219,840.0,1,terra1myjmd6dre74d7kctam0k29zgkgg85rwpjddus2,0.0,0
220,311.600286,1,terra1u67zwddqw62up76e9xk7z7l58rcd7a6xvxmw2k,0.0,0
221,50.0,1,terra1tyycutcqywuzaua0dgxvyjaex83ldduey6tufm,0.0,0
222,1000.0,3,terra1j4nd6k9yr6seyety6ndmxsqpnk2axmnywedv0v,0.0,0
223,80000.0,1,terra158343p7g7qlw76ph5dzvtvk5tztegz3gu6jgzl,0.0,0
224,1500.0,1,terra18ycfmnqa4uwupddhccyfdf3zlfljh47492wjr8,0.0,0
225,500.0,1,terra1ytxpfsmkt5ug0qzmsch4xgx2ywdrch4qjwhz5y,0.0,0
226,290.0,1,terra149prtpkd37zltuppydl62vzv9rc7wwmfwhrhg6,0.0,0
227,420.0,2,terra1gt9ywdtjvej3q7gd8z8fglq5g0vpz35xsjz5fh,420.0,1
228,10000.001393,3,terra105dawxcu4utrtd8942pkkf8wug8js6g2k730a2,0.0,0
229,25087.0,2,terra1lvuq5v8qtxdj0qaec9f25jtg50vs66s9vyj26t,25087.0,2
230,200.0,1,terra1sqf5rvehqm97ft8vvp95wj3y3cjn3vzdy6qlaw,0.0,0
231,250.0,1,terra1umy5r789en27uk2n85ds38j4pkjdur3e9qx3jg,0.0,0
232,500.0,1,terra1vzp7tmv3v77fpxr5gfxuz5fr4wlqd73xdhx897,0.0,0
233,1000.0,1,terra1zrqtuje7qp8nkac0sx5kay06weuvkj8r0khrw0,0.0,0
234,10.0,1,terra1ascn6czxmn9x0gcg9mqhrwkalmd58myjqpnece,0.0,0
235,170.0,1,terra1fyn79fpt0yyxq8zknxgqgrmtnj7kkqpq56j55m,0.0,0
236,310.0,1,terra15hh2yrfdxd37uwfgeqejcglhtx49vmm3eqsrau,0.0,0
